Date;Station ID;Depth ;Salinity;NH4;NO32;Dissolved_Inorganic_(NH4_NO32);Dissolved_Organic_(TDN-DIN);SUM_Total_Dissolved;Particulate_(TN_TDN);Total_N_measured;Particulate_Nitrogen_measured;Total_N_(PN_TDN);Dissolved_Inorganic_P_(DRP);Dissolved_Organic_(TDP_DRP);Total_Dissolved_P_(TDP);Particulate_P_(TP_TDP);Total_P_(TP);;;
2015-09-24;9;1;23;2,4;14,8;17,2;25,0;42,2;-1,6;40,6;;;2,0;0,7;2,7;1,3;4,0;;;
2015-09-24;18;1;33;3,6;6,2;9,9;9,9;19,7;0,5;20,2;;;1,2;-0,2;1,0;1,2;2,2;;;
2015-09-24;22;1;32;3,6;7,7;11,3;14,1;25,3;-0,8;24,6;;;1,5;0,1;1,6;1,4;3,0;;;
2015-09-24;27;1;33;0,4;17,1;17,5;28,1;45,6;0,1;45,8;;;4,0;2,7;6,7;1,9;8,7;;;
2015-09-24;32;1;33;1,6;12,2;13,8;35,7;49,5;6,4;55,9;;;6,3;0,1;6,4;6,4;12,8;;;
2015-09-24;36;1;31;10,4;61,0;71,3;85,7;157,1;17,1;174,2;;;15,5;4,2;19,7;10,9;30,7;;;
2015-09-24;657;1;1;5,8;30,6;36,4;17,2;53,6;3,9;57,5;;;3,2;0,5;3,7;0,5;4,1;;;
2015-10-15;6;1;12;1,6;35,5;37,1;14,5;51,6;6,9;58,5;;;3,8;0,1;3,9;0,2;4,1;;;
2015-10-15;13;1;28;2,1;16,9;19,1;10,1;29,2;-1,6;27,6;;;2,8;0,4;3,2;0,2;3,5;;;
2015-10-15;18;1;32;3,0;12,0;15,0;9,1;24,1;-3,9;20,3;;;2,3;0,3;2,7;0,2;2,8;;;
2015-10-15;22;1;32;3,1;17,1;20,3;12,6;32,9;-3,3;29,6;;;3,8;0,1;3,9;0,2;4,1;;;
2015-10-15;27;1;33;3,0;42,2;45,2;8,0;53,2;-0,1;53,0;;;7,4;1,6;9,0;1,1;10,1;;;
2015-10-15;32;1;33;0,4;41,6;41,9;17,2;59,1;3,0;62,1;;;12,2;-0,6;11,6;2,0;13,6;;;
2015-10-15;36;1;32;2,5;63,3;65,8;26,3;92,1;18,6;110,7;;;16,1;-0,9;15,2;7,1;22,4;;;
2015-10-15;657;1;0;9,1;31,5;40,6;18,0;58,6;2,8;61,4;;;2,9;0,6;3,5;0,3;3,8;;;
2015-11-05;18;1;32;4,4;12,6;17,0;6,4;23,4;-1,1;22,3;;;2,5;0,0;2,5;0,4;2,9;;;
2015-11-05;22;1;31;6,4;15,4;21,8;32,8;54,5;96,1;150,6;;;3,2;0,3;3,5;0,2;3,7;;;
2015-11-05;27;1;33;0,5;39,1;39,6;11,2;50,8;0,1;51,0;;;8,3;-4,3;4,0;4,9;8,9;;;
2015-11-05;30;1;33;2,4;40,3;42,8;13,1;55,9;2,6;58,5;;;9,7;0,8;10,5;-0,1;10,4;;;
2015-11-05;36;1;31;3,2;55,9;59,1;24,4;83,5;5,7;89,2;;;13,4;-0,1;13,3;2,6;15,9;;;
2015-11-18;6;1;28;5,5;36,6;42,1;20,6;62,6;-1,9;60,7;;;3,3;0,5;3,8;0,4;4,2;;;
2015-11-18;13;1;14;4,1;18,3;22,4;7,9;30,3;1,8;32,1;;;3,0;0,1;3,1;0,2;3,3;;;
2015-11-18;657;1;1;12,6;46,2;58,8;16,8;75,7;4,3;80,0;;;3,4;0,2;3,6;0,5;4,0;;;
2015-12-16;6;1;10;9,4;30,2;39,6;73,2;112,8;-17,1;95,7;;;2,3;1,0;3,3;0,7;4,0;;;
2015-12-16;13;1;25;9,0;17,8;26,8;32,3;59,1;-15,2;43,9;;;2,1;0,0;2,1;1,4;3,5;;;
2015-12-16;18;1;31;9,1;12,7;21,8;9,9;31,7;-3,7;28,0;;;2,1;0,1;2,2;0,7;2,9;;;
2015-12-16;22;1;31;10,1;9,1;19,2;32,4;51,6;-9,3;42,3;;;2,0;0,3;2,3;2,1;4,4;;;
2015-12-16;27;1;32;13,1;32,2;45,3;29,7;75,0;-17,2;57,8;;;6,3;-0,1;6,2;0,6;6,8;;;
2015-12-16;32;1;31;11,6;41,0;52,6;43,1;95,7;-11,4;84,2;;;8,3;-0,1;8,2;1,5;9,7;;;
2015-12-16;36;1;30;10,4;55,9;66,3;26,6;92,8;-4,3;88,5;;;9,4;-0,4;9,0;1,6;10,6;;;
2015-12-16;657;1;0;18,6;28,1;46,7;23,9;70,6;5,8;76,4;;;2,4;-0,1;2,3;1,3;3,6;;;
2016-01-21;6;1;5;17,3;44,6;61,9;21,6;83,5;2,1;85,7;;;2,4;-0,3;2,1;1,7;3,8;;;
2016-01-21;13;1;24;11,4;20,7;32,1;37,8;69,9;-21,6;48,3;;;2,1;0,0;2,2;0,7;2,9;;;
2016-01-21;18;1;31;4,6;3,6;8,3;22,3;30,6;9,7;40,3;;;1,0;0,4;1,5;0,4;1,8;;;
2016-01-21;22;1;28;10,9;15,5;26,3;31,3;57,7;-18,4;39,3;;;2,1;-0,1;1,9;0,9;2,8;;;
2016-01-21;27;1;29;13,6;19,1;32,6;53,8;86,4;-25,7;60,7;;;2,8;1,1;3,9;0,9;4,8;;;
2016-01-21;32;1;27;13,1;40,0;53,1;26,8;80,0;10,7;90,7;;;5,5;0,5;5,9;0,9;6,8;;;
2016-01-21;36;1;23;14,9;71,4;86,2;60,8;147,1;-28,6;118,5;;;7,9;-1,1;6,7;3,4;10,1;;;
